type_species,Species,Author,Subspecies,Common_name,Familyetc,sp#,changes
,Ablepharus anatolicus,SCHMIDTLER 1997,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",23791,changed name
,Ablepharus bivittatus,(MENETRIES 1832),,"E: Twin-striped Skink, Two-Streaked Snake-Eyed Skink
G: Gestreiftes Natternauge","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",10001,
,Ablepharus budaki,"GÖCMEN, KUMLUTAS & TOSUNOGLU 1996",,E: Budak’s Snake-eyed Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",10002,
,Ablepharus chernovi,DAREVSKY 1953,"Ablepharus chernovi chernovi DAREVSKY 1953
Ablepharus chernovi eiselti SCHMIDTLER 1997
Ablepharus chernovi isauriensis SCHMIDTLER 1997
Ablepharus chernovi ressli SCHMIDTLER 1997",E: Chernov’s Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",10003,
,Ablepharus darvazi,EREMCHENKO & PANFILOV 1990,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",10004,
,Ablepharus deserti,STRAUCH 1868,,E: Desert Lidless Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",10005,
,Ablepharus grayanus,(STOLICZKA 1872),,E: Minor Snake-eyed Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",10006,
,Ablepharus kitaibelii,BIBRON & BORY ST-VINCENT 1833,"Ablepharus kitaibelii kitaibelii (BIBRON & BORY 1833)
Ablepharus kitaibelii fabichi STEPANEK 1937
Ablepharus kitaibelii fitzingeri MERTENS 1952
Ablepharus kitaibelii stepaneki FUHN 1970","E: Juniper Skink, Snake-eyed skink
G: Johanniseidechse
Croatian: ivanjski rovaš","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",10007,
,Ablepharus lindbergi,WETTSTEIN 1960,,"E: Lindberg’s Twin-striped Skink, Lindberg’s Snake-Eyed Skink
G: Lindbergs Natternauge","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",10008,
x,Ablepharus pannonicus,(LICHTENSTEIN 1823),,"E: Asian Snake-eyed Skink
G: Asiatisches Natterauge","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",10009,
